"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"786","786 INVESTMENT LIMITED","26,806.00"," 266,468.33 ","19,145.00"," 191,539.68 ","71.42 ","71.88 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","26.00"," 22,584.47 ","23.00"," 20,018.74 ","88.46 ","88.64 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","7,054.00"," 581,342.87 ","6,531.00"," 538,454.28 ","92.59 ","92.62 "
"ABL","ALLIED BANK LIMITED","1,393,563.00"," 276,460,965.03 ","1,153,026.00"," 228,836,568.54 ","82.74 ","82.77 "
"ABOT","ABBOTT LABORATORIES (PAKISTAN) LIMITED","73,384.00"," 80,337,188.85 ","71,903.00"," 78,726,652.39 ","97.98 ","98.00 "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","21,500.00"," 344,390.00 ","19,500.00"," 311,990.00 ","90.70 ","90.59 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","229,656.00"," 64,380,820.71 ","207,923.00"," 58,276,056.40 ","90.54 ","90.52 "
"ADAMS","ADAM SUGAR MILLS LIMITED","2,568.00"," 161,953.24 ","1,620.00"," 104,863.64 ","63.08 ","64.75 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","586,792.00"," 42,387,858.18 ","299,119.00"," 21,661,122.98 ","50.98 ","51.10 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","1,412,920.00"," 12,987,193.80 ","1,246,861.00"," 11,469,041.06 ","88.25 ","88.31 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","66,493.00"," 3,138,390.99 ","37,739.00"," 1,788,426.32 ","56.76 ","56.99 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","70,934.00"," 9,780,451.94 ","65,403.00"," 9,017,450.16 ","92.20 ","92.20 "
"AGL","AGRITECH LIMITED","680,864.00"," 38,103,310.95 ","444,141.00"," 24,898,961.36 ","65.23 ","65.35 "
"AGP","AGP LIMITED","303,794.00"," 61,026,655.23 ","291,512.00"," 58,557,941.92 ","95.96 ","95.95 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","212,715.00"," 1,615,939.41 ","190,508.00"," 1,448,636.58 ","89.56 ","89.65 "
"AGTL","AL-GHAZI TRACTORS LIMITED","23,650.00"," 9,901,320.68 ","22,501.00"," 9,421,478.03 ","95.14 ","95.15 "
"AHCL","ARIF HABIB CORPORATION LIMITED","7,003,742.00"," 87,146,164.55 ","4,367,888.00"," 54,345,073.99 ","62.37 ","62.36 "
"AHL","ARIF HABIB LIMITED","58,987.00"," 4,884,130.52 ","51,997.00"," 4,307,260.01 ","88.15 ","88.19 "
"AICL","ADAMJEE INSURANCE COMPANY LIMITED","2,462,337.00"," 162,628,867.86 ","1,593,181.00"," 106,584,937.24 ","64.70 ","65.54 "
"AIRLINK","AIRLINK COMMUNICATION LIMITED","1,496,767.00"," 214,610,539.86 ","1,071,421.00"," 154,817,612.49 ","71.58 ","72.14 "
"AKBL","ASKARI BANK LIMITED","19,005,831.00"," 1,205,389,100.15 ","7,102,232.00"," 484,046,511.67 ","37.37 ","40.16 "
"AKDHL","AKD HOSPITALITY LIMITED","2,608.00"," 478,877.73 ","1,740.00"," 319,409.44 ","66.72 ","66.70 "
"AKDSL","AKD SECURITIES LIMITED","2,941,935.00"," 93,423,400.43 ","1,675,857.00"," 53,523,850.23 ","56.96 ","57.29 "
"AKGL","AL-KHAIR GADOON LIMITED","1,924.00"," 115,724.11 ","1,721.00"," 103,839.01 ","89.45 ","89.73 "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","630,393.00"," 4,940,367.02 ","539,294.00"," 4,260,749.52 ","85.55 ","86.24 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","25,067.00"," 761,605.53 ","12,684.00"," 388,727.73 ","50.60 ","51.04 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","6,205.00"," 562,651.37 ","6,000.00"," 545,203.87 ","96.70 ","96.90 "
"ALTN","ALTERN ENERGY LTD.","5,660,363.00"," 63,699,894.20 ","5,020,466.00"," 56,503,980.79 ","88.70 ","88.70 "
"AMTEX","AMTEX LIMITED","958,052.00"," 3,076,390.55 ","876,035.00"," 2,810,842.59 ","91.44 ","91.37 "
"ANL","AZGARD NINE LIMITED","3,906,933.00"," 46,456,403.51 ","2,979,493.00"," 35,442,275.20 ","76.26 ","76.29 "
"ANTM","AN TEXTILE MILLS LIMITED","579.00"," 14,862.70 ","541.00"," 13,949.56 ","93.44 ","93.86 "
"APL","ATTOCK PETROLEUM LIMITED","57,873.00"," 30,747,840.65 ","50,890.00"," 27,060,648.42 ","87.93 ","88.01 "
"ARCTM","ARCTIC TEXTILE MILLS LIMITED","3,456.00"," 143,364.89 ","3,153.00"," 131,109.56 ","91.23 ","91.45 "
"ARPAK","ARPAK INTERNATIONAL INVESTMENT LIMITED","1,852.00"," 126,302.40 ","1,737.00"," 118,418.25 ","93.79 ","93.76 "
"ARPL","ARCHROMA PAKISTAN LIMITED","3,275.00"," 1,399,477.28 ","2,520.00"," 1,078,601.38 ","76.95 ","77.07 "
"ARUJ","ARUJ INDUSTRIES LIMITED","46,368.00"," 493,821.92 ","41,547.00"," 442,618.15 ","89.60 ","89.63 "
"ASC","AL SHAHEER CORPORATION LIMITED","496,233.00"," 3,978,895.47 ","477,484.00"," 3,829,210.34 ","96.22 ","96.24 "
"ASHT","ASHFAQ TEXTILE MILLS LIMITED","3,430.00"," 86,362.01 ","3,027.00"," 76,247.19 ","88.25 ","88.29 "
"ASIC","ASIA INSURANCE COMPANY LIMITED","500.00"," 9,500.00 ","500.00"," 9,500.00 ","100.00 ","100.00 "
"ASL","AISHA STEEL MILLS LIMITED","5,786,844.00"," 68,841,860.82 ","4,279,157.00"," 50,980,519.92 ","73.95 ","74.05 "
"ASLCPS","AISHA STEEL LTD.-CONV.CUM. PREFR. SHARES","3,758.00"," 77,055.64 ","3,758.00"," 77,055.64 ","100.00 ","100.00 "
"ASTL","AMRELI STEELS LIMITED","170,873.00"," 3,893,864.43 ","165,416.00"," 3,769,255.54 ","96.81 ","96.80 "
"ASTM","ASIM TEXTILE MILLS LIMITED","63,145.00"," 1,020,330.85 ","40,880.00"," 657,365.83 ","64.74 ","64.43 "
"ATBA","ATLAS BATTERY LIMITED","22,141.00"," 6,677,385.58 ","21,067.00"," 6,354,102.58 ","95.15 ","95.16 "
"ATIL","ATLAS INSURANCE LIMITED","58,952.00"," 5,038,037.92 ","49,852.00"," 4,260,351.92 ","84.56 ","84.56 "
"ATLH","ATLAS HONDA LIMITED","30,279.00"," 33,794,593.97 ","27,744.00"," 30,952,590.53 ","91.63 ","91.59 "
"ATRL","ATTOCK REFINERY LIMITED","1,291,314.00"," 854,672,097.79 ","609,965.00"," 412,758,577.11 ","47.24 ","48.29 "
"AVN","AVANCEON LIMITED","961,946.00"," 47,963,761.24 ","829,834.00"," 41,731,414.17 ","86.27 ","87.01 "
"AWTX","ALLAWASAYA TEXTILE & FINISHING MILLS LTD","1.00"," 1,550.00 ","1.00"," 1,550.00 ","100.00 ","100.00 "
"BAFL","BANK ALFALAH LIMITED","7,342,518.00"," 677,557,790.06 ","4,796,069.00"," 456,741,178.22 ","65.32 ","67.41 "
"BAFS","BABA FARID SUGAR MILLS LIMITED","1,632.00"," 109,312.08 ","1,464.00"," 98,037.60 ","89.71 ","89.69 "
"BAHL","BANK AL HABIB LIMITED","1,674,247.00"," 243,296,757.83 ","1,422,797.00"," 201,258,047.30 ","84.98 ","82.72 "
"BAPL","BAWANY AIR PRODUCTS LIMITED","71,642.00"," 3,149,886.50 ","68,118.00"," 2,994,943.96 ","95.08 ","95.08 "
"BATA","BATA PAKISTAN LIMITED","19,283.00"," 34,007,960.69 ","16,912.00"," 29,830,620.36 ","87.70 ","87.72 "
"BBFL","BIG BIRD FOODS LIMITED","7,306,950.00"," 370,586,292.80 ","2,085,168.00"," 107,800,644.71 ","28.54 ","29.09 "
"BCL","BOLAN CASTINGS LIMITED","182,078.00"," 19,755,757.88 ","122,106.00"," 13,267,433.91 ","67.06 ","67.16 "
"BECO","BECO STEEL LIMITED","7,486,089.00"," 167,994,141.71 ","4,119,419.00"," 93,002,902.60 ","55.03 ","55.36 "
"BELA","BELA AUTOMOTIVES LIMITED","6,695.00"," 908,851.25 ","5,723.00"," 782,161.95 ","85.48 ","86.06 "
"BERG","BERGER PAINTS PAKISTAN LIMITED","205,080.00"," 23,598,640.96 ","151,627.00"," 17,401,251.51 ","73.94 ","73.74 "
"BFAGRO","BARKAT FRISIAN AGRO LIMITED","1,542,381.00"," 58,728,894.50 ","1,208,383.00"," 46,014,239.19 ","78.35 ","78.35 "
"BFBIO","BF BIOSCIENCES LIMITED","249,887.00"," 41,505,728.88 ","210,869.00"," 35,017,281.63 ","84.39 ","84.37 "
"BFMOD","B.F. MODARABA","121,581.00"," 1,399,070.00 ","109,762.00"," 1,268,336.75 ","90.28 ","90.66 "
"BGL","BALOCHISTAN GLASS LIMITED","3,996,918.00"," 49,392,071.08 ","2,772,341.00"," 34,375,933.89 ","69.36 ","69.60 "
"BHAT","BHANERO TEXTILE MILLS LIMITED","3,266.00"," 3,168,651.57 ","2,887.00"," 2,802,278.65 ","88.40 ","88.44 "
"BIFO","BIAFO INDUSTRIES LIMITED","159,300.00"," 28,163,927.68 ","104,048.00"," 18,407,812.23 ","65.32 ","65.36 "
"BILF","BILAL FIBRES LIMITED","260,682.00"," 5,820,295.76 ","150,129.00"," 3,374,267.35 ","57.59 ","57.97 "
"BIPL","BANKISLAMI PAKISTAN LIMITED","3,236,462.00"," 115,688,943.39 ","2,161,351.00"," 77,292,574.00 ","66.78 ","66.81 "
"BML","BANK MAKRAMAH LIMITED","8,112,060.00"," 40,324,130.17 ","4,866,519.00"," 24,200,737.95 ","59.99 ","60.02 "
"BNL","BUNNY`S LIMITED","1,654,854.00"," 153,155,844.53 ","1,263,124.00"," 117,088,599.00 ","76.33 ","76.45 "
"BNWM","BANNU WOOLLEN MILLS LIMITED","1,542,284.00"," 164,718,966.46 ","361,887.00"," 39,148,112.24 ","23.46 ","23.77 "
"BOK","THE BANK OF KHYBER","22,845.00"," 405,582.05 ","21,564.00"," 382,491.78 ","94.39 ","94.31 "
"BOP","THE BANK OF PUNJAB","77,480,046.00"," 988,756,775.23 ","29,424,926.00"," 393,503,699.36 ","37.98 ","39.80 "
"BPL","BURSHANE LPG (PAKISTAN) LIMITED","45,249.00"," 1,757,474.30 ","41,672.00"," 1,620,081.90 ","92.09 ","92.18 "
"BRRG","B.R.R. GUARDIAN LIMITED","7,933.00"," 226,981.21 ","5,383.00"," 155,649.86 ","67.86 ","68.57 "
"BTL","BLESSED TEXTILES LIMITED","1,050.00"," 363,442.73 ","847.00"," 293,139.73 ","80.67 ","80.66 "
"BUXL","BUXLY PAINTS LIMITED","8,919.00"," 1,833,503.10 ","8,283.00"," 1,701,610.17 ","92.87 ","92.81 "
"BWCL","BESTWAY CEMENT  LIMITED","60,380.00"," 27,772,114.12 ","44,742.00"," 20,583,713.81 ","74.10 ","74.12 "
"BWHL","BALUCHISTAN WHEELS LIMITED","21,095.00"," 3,136,615.60 ","21,045.00"," 3,129,235.10 ","99.76 ","99.76 "
"CASH","CALCORP LIMITED","11,726.00"," 434,835.60 ","10,246.00"," 380,711.20 ","87.38 ","87.55 "
"CCM","CRESCENT COTTON MILLS LIMITED","3,306.00"," 190,987.15 ","3,301.00"," 190,694.65 ","99.85 ","99.85 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","9,147.00"," 470,876.22 ","7,906.00"," 405,084.62 ","86.43 ","86.03 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","810,292.00"," 24,591,214.43 ","654,590.00"," 19,892,215.28 ","80.78 ","80.89 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","6,926.00"," 530,760.00 ","6,224.00"," 479,130.01 ","89.86 ","90.27 "
"CHBL","CHENAB LIMITED","706,975.00"," 5,559,956.24 ","528,678.00"," 4,161,658.11 ","74.78 ","74.85 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","385,220.00"," 113,082,688.47 ","351,577.00"," 103,874,916.95 ","91.27 ","91.86 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","192,587.00"," 1,166,873.16 ","176,955.00"," 1,072,975.17 ","91.88 ","91.95 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","1,752,114.00"," 5,321,216.93 ","1,569,390.00"," 4,758,357.81 ","89.57 ","89.42 "
"CLOV","CLOVER PAKISTAN LIMITED","640,347.00"," 27,062,913.75 ","555,223.00"," 23,503,611.42 ","86.71 ","86.85 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","6,991.00"," 118,165.74 ","3,150.00"," 53,173.20 ","45.06 ","45.00 "
"CNERGY","CNERGYICO PK LIMITED","11,458,362.00"," 77,539,971.79 ","7,636,278.00"," 53,723,328.85 ","66.64 ","69.28 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","36,928.00"," 49,145,978.54 ","34,819.00"," 46,341,042.55 ","94.29 ","94.29 "
"CPHL","CITI PHARMA LIMITED","1,915,720.00"," 163,305,943.05 ","1,590,625.00"," 135,659,412.01 ","83.03 ","83.07 "
"CPPL","CHERAT PACKAGING LIMITED","446,325.00"," 58,465,143.73 ","325,144.00"," 42,644,550.68 ","72.85 ","72.94 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","870,681.00"," 18,965,980.16 ","528,018.00"," 11,508,665.50 ","60.64 ","60.68 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","206,398.00"," 22,680,521.34 ","181,452.00"," 19,941,187.34 ","87.91 ","87.92 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","29,818,132.00"," 141,704,272.80 ","16,875,291.00"," 80,736,862.18 ","56.59 ","56.98 "
"CTM","COLONY TEXTILE MILLS LIMITED","272,281.00"," 1,627,696.65 ","265,841.00"," 1,589,289.80 ","97.63 ","97.64 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","1,301,186.00"," 53,932,027.32 ","468,172.00"," 19,431,428.66 ","35.98 ","36.03 "
"CYAN","CYAN LIMITED","1,581,369.00"," 62,018,599.87 ","836,069.00"," 32,970,756.82 ","52.87 ","53.16 "
"DAAG","DATA AGRO LIMITED","5,832.00"," 659,102.24 ","5,723.00"," 646,873.44 ","98.13 ","98.14 "
"DADX","DADEX ETERNIT LIMITED","7,482.00"," 502,171.60 ","4,482.00"," 304,111.60 ","59.90 ","60.56 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","114,435.00"," 681,757.70 ","112,205.00"," 668,409.90 ","98.05 ","98.04 "
"DCL","DEWAN CEMENT LIMITED","9,796,935.00"," 137,438,067.00 ","6,366,109.00"," 89,378,870.64 ","64.98 ","65.03 "
"DCR","DOLMEN CITY REIT","802,995.00"," 21,949,432.32 ","732,906.00"," 20,036,818.55 ","91.27 ","91.29 "
"DEL","DAWOOD EQUITIES LIMITED","257,759.00"," 2,966,965.77 ","200,050.00"," 2,316,531.23 ","77.61 ","78.08 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","2,839,278.00"," 101,943,650.58 ","1,978,684.00"," 71,069,750.04 ","69.69 ","69.71 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","1,673,032.00"," 13,296,495.02 ","1,298,266.00"," 10,309,723.03 ","77.60 ","77.54 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","4,027,005.00"," 663,601,799.82 ","1,623,088.00"," 276,487,476.74 ","40.31 ","41.66 "
"DHPL","DH PARTNERS LIMITED","2,128,237.00"," 88,646,548.94 ","1,305,121.00"," 54,662,356.77 ","61.32 ","61.66 "
"DIIL","DIAMOND INDUSTRIES LIMITED","4.00"," 100.25 ","4.00"," 100.25 ","100.00 ","100.00 "
"DINT","DIN TEXTILE MILLS LIMITED","5,015.00"," 461,274.85 ","3,692.00"," 340,831.94 ","73.62 ","73.89 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","27,958.00"," 8,590,854.39 ","18,753.00"," 5,795,183.89 ","67.08 ","67.46 "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","2,016.00"," 20,151.59 ","1,826.00"," 18,234.03 ","90.58 ","90.48 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","9,036.00"," 134,522.55 ","7,534.00"," 112,192.34 ","83.38 ","83.40 "
"DOL","DESCON OXYCHEM LIMITED","1,462,271.00"," 50,897,439.51 ","1,298,799.00"," 45,214,577.44 ","88.82 ","88.83 "
"DSIL","D. S. INDUSTRIES LIMITED","6,014,826.00"," 41,383,318.36 ","3,991,457.00"," 27,622,890.60 ","66.36 ","66.75 "
"DSL","DOST STEELS LIMITED","217,270.00"," 1,843,601.12 ","183,245.00"," 1,554,282.62 ","84.34 ","84.31 "
"DWAE","DEWAN AUTOMOTIVE ENGINEERING LIMITED","11,158.00"," 371,202.17 ","10,751.00"," 357,616.31 ","96.35 ","96.34 "
"DWSM","DEWAN SUGAR MILLS LIMITED","777,514.00"," 5,251,677.06 ","540,361.00"," 3,628,845.87 ","69.50 ","69.10 "
